Variable,Transition,Shifting,Seasonality,Trend,Stationarity,Correlation
channel_1,0.017036467632083586,-0.07199391171993907,0.913664967031327,0.4949785063411203,0.0,0.7531881021443212
channel_2,0.02201819924581029,-0.07606544901065448,0.9315899667941221,0.4733967931518003,0.0,0.7531881021443212
channel_3,0.020989586060752054,-0.060768645357686446,0.9094946737904758,0.4964137794061686,0.0,0.7531881021443212
channel_4,0.021563402228899943,-0.05413812785388128,0.9245429189071275,0.5016111520481858,0.0,0.7531881021443212
channel_5,0.017549097401309263,-0.07730213089802129,0.9135475784835346,0.5107611941520707,0.0,0.7531881021443212
channel_6,0.02035552027305708,-0.04904870624048702,0.9111942237659013,0.4342314989331554,0.0,0.7531881021443212
channel_7,0.021600753979276622,-0.07648401826484019,0.9366573616235163,0.4735645242963553,0.0,0.7531881021443212
channel_8,0.023038138767539545,-0.04973363774733636,0.9165692658738768,0.48700190607814486,0.0,0.7531881021443212
channel_9,0.02301117711673948,-0.05449010654490105,0.9270534881495667,0.5023385129632226,0.0,0.7531881021443212
channel_10,0.021898910381050987,-0.05444254185692543,0.9119977704272324,0.4929245435259023,0.0,0.7531881021443212
channel_11,0.02304642454315127,-0.04420662100456618,0.9149571621111825,0.4977209530079544,0.0,0.7531881021443212
channel_12,0.02777254400449429,-0.06031202435312022,0.925328497484994,0.42406894952847496,0.0,0.7531881021443212
channel_13,0.022817579311970235,-0.04980974124809745,0.9238054631859489,0.48685790437886045,0.0,0.7531881021443212
channel_14,0.02187300089223336,-0.03841324200913243,0.9146200902355757,0.49952402921947137,0.0,0.7531881021443212
channel_15,0.021887205078996323,-0.03789954337899548,0.9052949207321134,0.42118797755685145,0.0,0.7531881021443212
channel_16,0.018960193083382926,-0.07208904109589043,0.9124151310374786,0.5007070396513111,0.0,0.7531881021443212
channel_17,0.02211894375562907,-0.048934550989345516,0.9225871642698658,0.49600879156978506,0.0,0.7531881021443212
channel_18,0.022147615169650598,-0.05524162861491627,0.9197508658474866,0.48208947142817515,0.0,0.7531881021443212
channel_19,0.022617931575801963,-0.04957191780821918,0.9109204412322793,0.4949219863973008,0.0,0.7531881021443212
channel_20,0.02165520336186797,-0.04107686453576864,0.9122375663668457,0.4932349839056921,0.0,0.7531881021443212
channel_21,0.022290446158767036,-0.049143835616438314,0.9246596813678056,0.49633548685839135,0.0,0.7531881021443212
channel_22,0.02218549300101849,-0.04651826484018262,0.9186495471176698,0.4794845842608091,0.0,0.7531881021443212
channel_23,0.017560173246049065,-0.054442541856925375,0.9054309849764135,0.512016697410385,0.0,0.7531881021443212
channel_24,0.02054333118692289,-0.05753424657534245,0.9240338792491779,0.4407021805953032,0.0,0.7531881021443212
channel_25,0.022405263335100963,-0.049743150684931514,0.9209218969022319,0.4903955967389253,0.0,0.7531881021443212
channel_26,0.022704471898857773,-0.05423325722983258,0.9146501465329329,0.5015876084337862,0.0,0.7531881021443212
channel_27,0.020940522335294566,-0.04980974124809745,0.9165413214723226,0.4943965646428874,0.0,0.7531881021443212
channel_28,0.021802242998914173,-0.09351217656012178,0.9318844873172643,0.4774452897383634,0.0,0.7531881021443212
channel_29,0.02081518353913622,-0.09856354642313547,0.9215441079653567,0.4225998844352973,0.0,0.7531881021443212
channel_30,0.022759578882688147,-0.03820395738203952,0.9134838308441077,0.49641481317308966,0.0,0.7531881021443212
channel_31,0.017755240362361965,-0.07301179604261793,0.9083440850854535,0.5112863191309682,0.0,0.7531881021443212
channel_32,0.02625421401170948,-0.08196347031963469,0.9212176014853023,0.4088130332911625,0.0,0.7531881021443212
channel_33,0.02215287597956281,-0.04381659056316589,0.9251082201190253,0.4892779828277698,0.0,0.7531881021443212
channel_34,0.021414784348880084,-0.04952435312024356,0.9218675396008651,0.4872795160563317,0.0,0.7531881021443212
channel_35,0.022190227729939484,-0.04377853881278543,0.9149502881524908,0.4846879153029885,0.0,0.7531881021443212
channel_36,0.026839489981568876,-0.06645738203957385,0.9211438332327556,0.41945261492339747,0.0,0.7531881021443212
channel_37,0.022401712288410227,-0.049448249619482465,0.9183407243828888,0.48571585833611364,0.0,0.7531881021443212
channel_38,0.02263726505222932,-0.054718417047184165,0.9173815907198768,0.4704332306551484,0.0,0.7531881021443212
channel_39,0.022042135930910835,-0.05754375951293755,0.9176200462416657,0.46887611098824056,0.0,0.7531881021443212
channel_40,0.021946389190508658,-0.038127853881278484,0.9145051321662959,0.49520243872017355,0.0,0.7531881021443212
channel_41,0.020849247283317766,-0.05332001522070012,0.9105836241057691,0.4253620678089747,0.0,0.7531881021443212
channel_42,0.020841423948220063,-0.06031202435312022,0.9118040110805788,0.4987831362205818,0.0,0.7531881021443212
channel_43,0.022741429088491034,-0.060055175038051745,0.9319171125420255,0.479541352474916,0.0,0.7531881021443212
channel_44,0.021193961852815163,-0.050095129375951286,0.9108177129734187,0.4902409739804352,0.0,0.7531881021443212
