Variable,Transition,Shifting,Seasonality,Trend,Stationarity,Correlation
773869,0.0009765625,-0.025443510737628405,0.4636958816120875,0.10671232295658983,3.3460359732817117e-22,0.7788348192189319
767541,0.0047225501770956305,0.038690476190476275,0.49355540008480125,0.05296323746479781,2.673161582463328e-24,0.7788348192189319
767542,0.0023986870344653447,0.02666900093370672,0.5463198710485475,0.5590376409472108,8.830922145626467e-26,0.7788348192189319
717447,0.0007486678116880261,0.04300887021475264,0.5158835209633946,0.05336862562375522,5.2041971822086504e-28,0.7788348192189319
717446,0.0023850894779832185,0.011569211017740444,0.6373061536309534,0.478229098862346,8.544499355125197e-30,0.7788348192189319
717445,0.004064421074023269,-0.34021942110177406,0.4742006817916169,0.04616819183833287,1.1125749566583072e-28,0.7788348192189319
773062,0.000770802019501291,0.0037202380952381375,0.5698325185676913,0.05202607020705008,3.428504389773934e-29,0.7788348192189319
767620,0.0027265516557604596,0.04136029411764708,0.44350543202192316,0.07542983905561818,7.729058185907919e-27,0.7788348192189319
737529,0.0012478364126715775,0.02853641456582623,0.5110444401092068,0.501765274004131,9.792704814023018e-30,0.7788348192189319
717816,0.0010031378150855874,0.00542717086834732,0.6690464597713947,0.47020223079964896,2.0821109863461196e-30,0.7788348192189319
765604,0.005254808645647432,-0.028448879551820738,0.48009921595023874,0.04648733215714096,6.138152391350696e-24,0.7788348192189319
767471,0.00024151672503320865,0.034897292250233525,0.43472441101372417,0.05818038947603399,1.005602789370963e-28,0.7788348192189319
716339,0.0017865710461857027,0.010475023342670475,0.7270771809088992,0.3772355492100876,2.1452194414223878e-30,0.7788348192189319
773906,0.0067420186396985925,-0.012955182072829086,0.4796457671896648,0.037503701388944544,2.952663987364597e-26,0.7788348192189319
765273,0.0006937218175511621,-0.023853291316526637,0.6096729096872144,0.5047005075858357,0.0,0.7788348192189319
716331,0.008185333112892046,0.01269257703081239,0.6406242431078983,0.46833569146591647,1.2204305977742536e-29,0.7788348192189319
771667,0.019509402386929144,0.010183239962651802,0.5383415377204303,0.6344504393584398,4.753833770994106e-23,0.7788348192189319
716337,0.0031727146539758085,0.025735294117646967,0.5068586625821365,0.05031417195828303,0.0,0.7788348192189319
769953,0.0035612535612535613,-0.003005368814192333,0.4936212565164325,0.0567397288683944,2.582888236250475e-25,0.7788348192189319
769402,0.005192609588213984,-0.002538515406162456,0.5313186744825662,0.041378702728667394,3.1299765878275035e-30,0.7788348192189319
769403,0.011614583333333334,-0.0042892156862744946,0.4890215811441281,0.041385573416728105,1.3965102630861495e-25,0.7788348192189319
769819,0.003826530612244899,0.018849206349206282,0.5035201698808582,0.0542497314924667,2.2967809449598994e-27,0.7788348192189319
769405,0.05761316872427982,-0.09375,0.4310435899447205,0.2465806015811859,7.447896697725978e-24,0.7788348192189319
716941,0.006136101499423299,0.029791083099906635,0.4650596687363284,0.513111997102831,1.224064315455612e-28,0.7788348192189319
717578,0.001154201292705448,0.011627567693744179,0.5010299524848125,0.046992719419283846,1.2059314282799729e-24,0.7788348192189319
716960,0.007265152669816592,-0.15779645191409897,0.49488571117731295,0.07585735241473346,0.0,0.7788348192189319
717804,0.02479815455594002,0.03069561157796441,0.5875978875120409,0.15584594126563556,4.857619906187264e-26,0.7788348192189319
767572,0.0011806375442739072,0.016106442577030755,0.4846484205889212,0.04095023053294089,1.4735011607416443e-27,0.7788348192189319
767573,0.0011191460055096415,0.012488328664799209,0.5080931978557122,0.5411076309095322,7.26254741582958e-27,0.7788348192189319
773012,0.006483154426612818,0.2618609943977591,0.6329851793938637,0.5223511401269184,2.793692109461322e-30,0.7788348192189319
773013,0.001876524676299493,0.06433823529411775,0.479200075310813,0.03792295588049377,2.0001925413998667e-25,0.7788348192189319
764424,0.00033732501264968775,-0.02299253034547155,0.4730639747616091,0.06899475137548061,1.3236496414033426e-25,0.7788348192189319
769388,0.0019175980714442253,-0.02430555555555558,0.3824190958006659,0.0463997832109273,2.5106671915686927e-24,0.7788348192189319
716328,0.004712203285330516,0.019491129785247363,0.5083556311275419,0.05947722376192255,1.511844858062545e-26,0.7788348192189319
717819,0.003059211850420641,0.002363445378151252,0.5136766201128733,0.02957038810200674,0.0,0.7788348192189319
769941,0.0037180249851279006,0.0003939075630252642,0.5000035656134001,0.05832570905055978,1.5546334035391462e-25,0.7788348192189319
760987,0.0036934441366574325,0.01998716153127922,0.3983757723657879,0.30909403816328274,5.4260843346304845e-19,0.7788348192189319
718204,0.0126953125,0.010212418300653558,0.4458861975500149,0.17968096867655536,5.9988271416266496e-18,0.7788348192189319
718045,0.00230167884147123,-0.018776260504201725,0.608662128012322,0.4681626932991785,0.0,0.7788348192189319
769418,0.013774104683195593,-0.0923202614379085,0.44358083061652454,0.2443862257681858,1.1293979282962586e-25,0.7788348192189319
768066,0.006279434850863422,0.007528011204481766,0.5847183471869066,0.5377922104176232,2.0221958483801495e-30,0.7788348192189319
772140,0.00024193158174868137,0.01954948646125121,0.5433812487740932,0.5726804155533719,2.406688854505655e-30,0.7788348192189319
773927,0.007168458781362008,0.029674369747899165,0.5515855272216641,0.5883867775324214,2.7566121323054884e-30,0.7788348192189319
760024,0.0007215722563729706,0.01811974789915971,0.5685703254766303,0.46756678757328884,0.0,0.7788348192189319
774012,0.0023878473809886705,0.032504668534080405,0.3770223448444051,0.24109987563045576,2.3106043689194775e-21,0.7788348192189319
774011,0.00507397318805747,0.02265697945845002,0.3697462635044476,0.24324610913497813,7.839217200272894e-21,0.7788348192189319
767609,0.0011111111111111105,0.02039565826330536,0.45260976744844494,0.07162124383000956,1.9200598893356845e-28,0.7788348192189319
769359,0.0016373333333333337,0.03297152194211028,0.5694702681358552,0.49373162724637154,0.0,0.7788348192189319
760650,0.009739583333333333,0.001604808590102813,0.5634431933048756,0.5538688977386116,2.080045822426428e-30,0.7788348192189319
716956,0.0006887052341597792,-0.0004960317460317443,0.49912936544289843,0.06870722186455813,1.9550171747406025e-26,0.7788348192189319
769831,0.002645502645502646,0.01899509803921562,0.5012102533167685,0.05434316637374437,2.4459813756161015e-27,0.7788348192189319
761604,0.0003017956843217139,-0.0034138655462184753,0.4787135566902593,0.15263670576664856,5.635993681864554e-22,0.7788348192189319
717495,0.005416337462669509,0.007907329598506152,0.5849482397782699,0.49212985250444563,1.8103537944721684e-28,0.7788348192189319
716554,0.005793885601577909,0.007002801120448154,0.4136417729895592,0.07772846653671073,3.1842188008806553e-20,0.7788348192189319
773953,0.0018386800212899799,0.011379551820728251,0.5238835596510463,0.04539060504895853,0.0,0.7788348192189319
767470,0.0019379844961240303,0.020687441643324034,0.44173795062863697,0.0792597767185711,4.512210290358598e-28,0.7788348192189319
716955,0.004195601851851852,-0.06190184407096172,0.5637740947262042,0.6722723667234147,6.453749049424427e-28,0.7788348192189319
764949,0.001850976685570258,0.07100548552754438,0.5353809384229196,0.05609467421345771,2.1006054290304393e-30,0.7788348192189319
773954,0.0015367836605195315,-0.016135620915032733,0.5045505520345441,0.04784799346888591,7.441658908263854e-27,0.7788348192189319
767366,0.001334366391184573,-0.006244164332399604,0.4946912460629318,0.04284625903325512,4.5643537280301676e-26,0.7788348192189319
769444,0.015117157974300828,-0.020016339869281086,0.5478325957840273,0.6472355861709942,4.221016436353394e-30,0.7788348192189319
773939,0.0025631167499679617,-0.022963352007469684,0.5795499501130246,0.40987228044055324,0.0,0.7788348192189319
774067,0.008101851851851853,0.04087885154061621,0.44542647419154935,0.05507487352297191,3.805085115476416e-27,0.7788348192189319
769443,0.0015117157974300828,-0.0505368814192344,0.6734377798918603,0.31554484137316574,9.048151727464841e-25,0.7788348192189319
767750,0.0037448347107438018,0.021854575163398726,0.506862310384008,0.5204126824299108,5.241310906088968e-26,0.7788348192189319
767751,0.004218715757177296,-0.10174486461251164,0.4935422585019065,0.06115141827597803,3.679380355941118e-23,0.7788348192189319
767610,0.00047258979206049134,0.024816176470588203,0.37281735235978664,0.16191641755838204,1.7441146374834887e-28,0.7788348192189319
773880,0.002049857832440653,0.009541316526610721,0.4867180341078353,0.05034991275309497,1.2329459744594481e-26,0.7788348192189319
764766,0.00955138952395468,0.04569327731092443,0.5290608250064982,0.5277609881003398,0.0,0.7788348192189319
717497,0.0042194092827004225,-0.016748366013071947,0.5412616139080322,0.03810983471405738,2.2565505395178294e-30,0.7788348192189319
